faiss_id,job_id,title,company,source
0,FHCZfsAoRmSYchlmAAAAAA==,Data Analyst Supporting the FBI,FSA,JSearch
1,aWKz_eZMHJTL91ZuAAAAAA==,"Staff Data Analyst, Audience Analytics & Insights - CNN Digital Products & Services",CNN,JSearch
2,EIzOta40ZKdPR4zKAAAAAA==,Remote Healthcare Data Analyst - Insights & Quality,UnitedHealthcare,JSearch
3,vnk5oFlJA8-qn_YPAAAAAA==,SAP MASTER DATA ANALYST,"Waste Management, Inc. (WM)",JSearch
4,q9iLkZRwQsqa0MtcAAAAAA==,Data Analyst - Project / Remote,The Walt Disney Company,JSearch
5,McVpbb8etvcuZnd0AAAAAA==,Data Analyst,CenterWell,JSearch
6,K7QTgw7MHLNcr6S0AAAAAA==,Population Health Data Analyst (Remote),"MD_HCHN Holy Cross Health, Inc.",JSearch
7,lkskbcV2z0SPWHFzAAAAAA==,Senior Data Analyst - SQL,Managed Care Advisors,JSearch
8,HLrEIoKY69ak2EgeAAAAAA==,"(USA) Senior, Data Analyst",Walmart,JSearch
9,s5OFEB5Z5jyvxR4yAAAAAA==,Data Analyst Supporting the US Attorney's Office,FSA Federal,JSearch
10,Gr3lULy_OX_TicosAAAAAA==,Remote Senior Data Analyst: Insights That Drive Growth,Jobcertify,JSearch
11,yV5T9_pVfXBlkJvLAAAAAA==,Part Time Data Analyst,Cedar Pine Consulting,JSearch
12,y1o8ICiYYLOA2Z1IAAAAAA==,Data Analyst/Scientist - Junior/Entry (Remote),SynergisticIT,JSearch
13,Fv__75huXzA6mS4fAAAAAA==,Remote Data Analyst: Insights that Drive Decisions,OBRAS Y PROYECTOS ARAEZGARCIA SL,JSearch
14,seV4Gc59M5MQko8CAAAAAA==,"Data Analyst: Create Datasets, Support Investigations (6444)",Office of the New York State Attorney General,JSearch
15,Q-imAZR0Xu2ga3QqAAAAAA==,Telecom GIS & Data Analyst – Network Capacity Planning,TEKsystems,JSearch
16,sMxz5Ay0-xfrF8SDAAAAAA==,(Remote)Data Analyst,SynergisticIT,JSearch
17,qAkwz-GTyMRpC5jBAAAAAA==,[Remote] Information Technology Data Analyst,Asana,JSearch
18,_-VUNwwdD2krOkVJAAAAAA==,Data Analyst (Healthcare) Remote,"Georgia IT, Inc.",JSearch
19,gp4t3rZu3gWnVVD3AAAAAA==,Data Analyst- Global Merchandising Services (remote),Hallmark Cards,JSearch
20,84yPi9fWtEc_d3kjAAAAAA==,Data Product Analyst,Deloitte,JSearch
21,cJTpxaPnXAo35rqGAAAAAA==,"Senior Analyst, Strategy & Data",Salesforce,JSearch
22,HPH1kwpnxH12MDa8AAAAAA==,Data Analyst (Hybrid),Doximity,JSearch
23,LxOk2CFO4RuR4zVZAAAAAA==,Data Analyst II,Brex,JSearch
24,4NQ0NAmIBPiRs4P6AAAAAA==,Business Data Analyst -Project Delivery Senior Analyst - AI & Engineering,Deloitte,JSearch
25,ANnZuL2v8nqZHeNwAAAAAA==,Data Analyst 3,UCSF Health,JSearch
26,iE551jjRUGs01WKuAAAAAA==,"Senior Data Analyst, People Analytics",Uber,JSearch
27,Hxw19g7T6AmrQHv2AAAAAA==,Business System Analyst,"Milestone Technologies, Inc.",JSearch
28,IxAKPrdUgMvsssKgAAAAAA==,"Sr. Data Analyst, Financial Analytics",Sunrun,JSearch
29,R61zPQYcFhu8WzdnAAAAAA==,"Senior Data Analyst Lead AI-Driven Analytics, Onsite SF",Visual Lease,JSearch
30,de4bxxDxglZehFLhAAAAAA==,Data Analyst - Investment products (CONTRACT) REMOTE,Broadridge,JSearch
31,eYHdHVJv2zsoTbwoAAAAAA==,Data Analyst III - Regulatory Reporting - FBG,Fanatics,JSearch
32,v14PJcF50YHncd3BAAAAAA==,"Senior Data Analyst (FGP) Manhattan, Analytics",NYU Langone Health,JSearch
33,NCRRCXZ5JXw9cQ4xAAAAAA==,Enrollment Data Analyst III (US),Elevance Health,JSearch
34,Nd98ti2NarAjVbnZAAAAAA==,Digital Data Analyst,iHeartMedia,JSearch
35,SlUhZ7MiVblWldmUAAAAAA==,Entry-Level Data Analyst,Plaza Contracting,JSearch
36,RU_sfheZnwY9uy9gAAAAAA==,"Data Analyst – Automatic Camera Enforcement (ACE), Emerging Talent Intern (Fall)",Metropolitan Transportation Authority,JSearch
37,cKtfsi_apOLzxoreAAAAAA==,Data Analyst 1 - 21,StateJobsNY,JSearch
38,sAxzYOVGt9V0xvF9AAAAAA==,Systems and Data Analyst 4,PDS Defense,JSearch
39,67s9OZ5iatoz5AiDAAAAAA==,"Data Analyst 2: Inventory (Hybrid - Seattle, WA)",Nordstrom,JSearch
40,kMumVs1BxN7sfmGKAAAAAA==,Senior Data Analyst,Adaptive Biotechnologies Corp.,JSearch
41,Vjs1xpeN2OA10gqhAAAAAA==,Senior Data Analyst,Adaptive Biotechnologies,JSearch
42,QyxdthljZ4tgH4ibAAAAAA==,BI Engineer - Data Analytics,Costco Wholesale,JSearch
43,eWAnZDd5AoiezKzUAAAAAA==,Senior Data Analyst (Multiple Positions),TikTok,JSearch
44,CxiJ5DwZe--6Qs5VAAAAAA==,Data Analyst - Insurance - REMOTE,Work At Home Vintage Experts,JSearch
45,sTQSnzbkIM-NpSKsAAAAAA==,Data Analyst (Remote),NAVA Software Solutions,JSearch
46,4jSvTj13lQxMn8xcAAAAAA==,Data Analyst II - Inventory & SEO Growth,Redfin Corporation,JSearch
47,PWtMF6TXFc7e_aQYAAAAAA==,Business and Data Analyst,Tata Consultancy Services,JSearch
48,8Nya6su8CN0opUOfAAAAAA==,Junior Data Analyst,SynergisticIT,JSearch
49,rkcr4EDm3BW68Sk0AAAAAA==,"Data Analyst, Data Intelligence",Acrisure,JSearch
50,tuifM1Lll9I3fxr3AAAAAA==,Entry Level Business Data Analyst,Dhalite Inc.,JSearch
51,lLMZZm-wci-hYzrpAAAAAA==,Data Quality Analyst – Enterprise Data,Bloomberg,JSearch
52,O6FrrrsS6McLz95TAAAAAA==,"Senior Data Analyst, Data Analytics",Current,JSearch
53,9h84DQB-YeLclcIxAAAAAA==,"Data Analyst, Bureau of Equitable Health Systems",City of New York,JSearch
54,u3racUwDp2EJu1p5AAAAAA==,Senior Reconciliation & Recovery Data Analyst,Healthfirst,JSearch
55,UyACY2mi77ODK0idAAAAAA==,"Vice President, Data Analyst & BI",BNY,JSearch
56,Ai6S4up2o4QVHChtAAAAAA==,Executive Assistant/Data Analyst,Hey Lieu,JSearch
57,c54wHKd0SwkHW9lkAAAAAA==,Sr Data Analyst - Commercial Sales US Remote,Danaher Corporation,JSearch
58,p00XqboAQh5JUBERAAAAAA==,Senior Data Analyst - Wealth Management,Qode,JSearch
